OriginalCompanyName,Sanctioned Names,Score
Artielle/C.,No Match,0
Paulca sprl,No Match,0
Peeters/Joseph,No Match,0
Fiducial Expertise,No Match,0
Faja Lobi,No Match,0
Fondation pour l'architecture,No Match,0
Dialogic sa [DIALOGIC S.A.],No Match,0
Cambier D,No Match,0
Gun Productions BVBA,No Match,0
Konica Minolta Business Solutions (Belgium) NV,No Match,0
Dethier B SA,No Match,0
Demeestere Rik,No Match,0
Briffaerts bvba,No Match,0
Notteboom/Sofie,No Match,0
Dams Alex bvba [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],No Match,0
Kapas BVBA,No Match,0
MTO [M.T.O.],No Match,0
Raes D,No Match,0
Charlier Tuinen bvba,No Match,0
Serafino Decoratie BVBA,No Match,0
Ceulenaere,No Match,0
PM Zeefdruk,No Match,0
Beauty Spot (The),No Match,0
S.V.T. BVBA,No Match,0
ActiveIdea SA,No Match,0
Rifo BVBA,No Match,0
Bulcke P,No Match,0
Garden Sides,No Match,0
BS Parts,No Match,0
Stoa [STOA NV],No Match,0
Nijs/Steven,No Match,0
UBCA,No Match,0
Van De Pol,No Match,0
Nextage,No Match,0
Medata Nv,No Match,0
Orangette (L'),No Match,0
EXELMANS KRISTOF,No Match,0
JMP Cars,No Match,0
Publi Dema BVBA,No Match,0
Vervaeke,No Match,0
Lemoine Belgium NV,No Match,0
Impaco,No Match,0
Transunie,No Match,0
Vlaamse Judofederatie VZW,No Match,0
International Lashing Systems nv [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],No Match,0
Promelek,No Match,0
Rivi?ra B BVBA,No Match,0
Ickx Design,No Match,0
Thys F & J,No Match,0
Cowa Europe,No Match,0
CEM Container Barging NV,No Match,0
Marissens Kantoor,No Match,0
Bureau No?l,No Match,0
D'Hondt Geert,No Match,0
Maison des Jeunes,No Match,0
Dimitex Diffusion SPRL,No Match,0
Verstraete Philip,No Match,0
B & S Projects BVBA,No Match,0
Nathalie's Trimsalon,No Match,0
RRCO,No Match,0
Veys M,No Match,0
Trucaroul nv,No Match,0
Panos,No Match,0
Pommereul E,No Match,0
Babymoov,No Match,0
NASIM,No Match,0
Hall 78 Sa,No Match,0
Beerens Alain SPRL,No Match,0
Pro-Steam BVBA,No Match,0
Cabinet d'avocats Glaude,No Match,0
Chocofino BVBA,No Match,0
Turi Carrelages SPRL,No Match,0
De Vogeleer Nv,No Match,0
Forlan 3 SPRL,No Match,0
Goosens/Michael,No Match,0
Carron Bjoke,No Match,0
Daemshof,No Match,0
Mallinder L,No Match,0
9G,No Match,0
Piercy/Vivien,No Match,0
La Bonne Bouteille SPRL,No Match,0
Bovan BVBA,No Match,0
G-Interieur BVBA,No Match,0
Syndicat d'Initiative,No Match,0
Prefa-Eddy Roosen,No Match,0
Vermoortele/Et,No Match,0
Prognoz Europe SPRL,No Match,0
Bonobo Apart hotel BVBA,No Match,0
Langers Kris BVBA,No Match,0
Folders Bedeling BVBA,No Match,0
Van Gucht/Nicole,No Match,0
Prestone,No Match,0
Rotexco NV,No Match,0
Van Den Zegel/Roger,No Match,0
FLORAIR 3000 SA,No Match,0
Gueuffen D,No Match,0
AZ ST LUCAS BRUGGE,No Match,0
Dakrubbercentrale BVBA,No Match,0
Eurosol BVBA,No Match,0
Noa Productions SPRL,No Match,0
Cieffe Benelux BVBA,No Match,0
Detraux L,No Match,0
Mertens/Jozef,No Match,0
Flahy H,No Match,0
Gunst/Leocadie,No Match,0
Bloemenrijk BVBA,No Match,0
Altemp NV,No Match,0
JGI-Computers,No Match,0
Investigus Agency,No Match,0
Van De Velde/S.,No Match,0
"Kinderwerking ""'t Dokske""",No Match,0
Te Voet,No Match,0
Simons S.,No Match,0
Verbiest C,No Match,0
Van Damme/Petra,No Match,0
Gesves.com,No Match,0
Rugtier L,No Match,0
Sellerie de Waimes,No Match,0
Verbist/Paul,No Match,0
A.F. Security,No Match,0
Bloemenkorf (De),No Match,0
Rolly/Johan,No Match,0
Interact Consultancy,No Match,0
Rob,No Match,0
Theunis/D.,No Match,0
Transluben SPRL,No Match,0
Herman/Jozef,No Match,0
La Couronne [AANNEMINGSBEDRIJF LA COURONNE],No Match,0
Lescrauwaet,No Match,0
Bernister (Le) SA,No Match,0
De Braekeleer Karen,No Match,0
Suetens Filip,No Match,0
Slabbinck S,No Match,0
Benali/Mohammed,No Match,0
De Paepe/Liesbeth,No Match,0
Cartopack NV,No Match,0
Conceptelec,No Match,0
Hanson Aggregates Belgium nv,No Match,0
Stickelmann,No Match,0
Gouleh,No Match,0
Just Communication,No Match,0
Stockel Sports,No Match,0
Herremans/Daniel,No Match,0
Perneel Champignons BVBA,No Match,0
Art-Toit SA,No Match,0
Pauwels/Nancy,No Match,0
Bils Exclusive Travel BVBA,No Match,0
Van Der Borght,No Match,0
SacrÃ©/B.,No Match,0
CKC SPRL,No Match,0
SENTOBIN BVBA,No Match,0
Hulens Engineering BVBA,No Match,0
Lorsom/Marc,No Match,0
Subliem BVBA,No Match,0
Coppac,No Match,0
Bogimac Engineering NV,No Match,0
Cartovan BVBA,No Match,0
High-Performance,No Match,0
Search & Selection bvba,No Match,0
Juvo BVBA,No Match,0
Steurs-Dockx,No Match,0
Van Garsse Interieurs nv,No Match,0
Don Bosco,No Match,0
Final Touch,No Match,0
Coup de Poing,No Match,0
Digital Data NV,No Match,0
Orthopedie Van Haesendonck NV,No Match,0
Delacroix/Damien,No Match,0
Bourgeois/Jean-Paul,No Match,0
Wegrio BVBA,No Match,0
Mercatorfonds,No Match,0
Deba Nv,No Match,0
Food Tendance BVBA,No Match,0
Rehau Nv,No Match,0
Torck Christof,No Match,0
Stegmann Belgium,No Match,0
Bermalux bvba,No Match,0
De Ceulaer/Freddy,No Match,0
Tanghe Gerdy BVBA,No Match,0
Verstrynge Chris,No Match,0
ABI Place,No Match,0
Club sa,No Match,0
Quartefeuille SPRL,No Match,0
Similes-Federatie vzw,No Match,0
Association Belge Des Enseignants & Pratiquants De Yoga (A.B.E.P.Y.),No Match,0
R.S.B.,No Match,0
Ceyssens/Jack,No Match,0
Immo Gevan NV,No Match,0
Amadeus,No Match,0
Peeraer en Co BVBA,No Match,0
Publimax,No Match,0
Scholen Sanderus,No Match,0
Pano Reizen NV,No Match,0
Watelet SPRL,No Match,0
Parameditheek Juste Raoul,No Match,0
Tonnelier,No Match,0
C.M.S. sa [SENEC],No Match,0
Brabo CVBA,No Match,0
Tabor,No Match,0
Gembloux Finances SA,No Match,0
Ackerman bvba,No Match,0
The Wine Agency SPRL,No Match,0
Vebewar bvba,No Match,0
Van Den Berghe/Claude,No Match,0
Media 2000,No Match,0
European Tech Serv,No Match,0
Van den Elsen Stefaan,No Match,0
Bouw Begeleidings Bureau BVBA,No Match,0
Take Off,No Match,0
Deweerdt/Paul,No Match,0
Vanparijs-Deschrijver,No Match,0
Destrooper & Partners bvba,No Match,0
St-Laureins,No Match,0
ARAGONITE BVBA,No Match,0
MS Racing bvba,No Match,0
Drakobosch,No Match,0
Parelmoer bvba,No Match,0
Vingt-deux-dix,No Match,0
Qatar Airways,No Match,0
IC Distri,No Match,0
SCHUTTERS KURT,No Match,0
Oh ! La ! La ! Boulangerie [OH] LA] LA] BOULANGERIE SPRL],No Match,0
L.D. Motors BVBA,No Match,0
Meersman/Marc,No Match,0
Siemens N.V.,No Match,0
Gerard Denis,No Match,0
Baes/Pierre,No Match,0
Alia Consult,No Match,0
Opalgo Systems,No Match,0
Gobien/Willem,No Match,0
Anja,No Match,0
Dumortier/Marc,No Match,0
Carte Blanche SPRL,No Match,0
Stuur Zelf BVBA,No Match,0
Henrotte S,No Match,0
Inventive Telecom Partners SA,No Match,0
Tui TravelCenter [WORLD OF TUI TRAVELCENTER],No Match,0
Bebop bvba,No Match,0
HDH & Co,No Match,0
Delvith [DELVITH AG],No Match,0
D'Haene D,No Match,0
Teknika,No Match,0
Schollaert/Kristof,No Match,0
Pro Active,No Match,0
Deprez D,No Match,0
Wallabie BVBA,No Match,0
BAP-ASMB,No Match,0
Optimal Aircraft Design SPRL,No Match,0
Blue Island,No Match,0
Liegeois/Marie-Christine,No Match,0
Bols Paul bvba,No Match,0
Flanders Catering,No Match,0
Parton/Bert,No Match,0
Vesuvius Group S.A.,No Match,0
Entraide & FraternitÃ© Vivre Ensemble,No Match,0
Van Cauwelaert P,No Match,0
NRD Design,No Match,0
Mannabis SPRL,No Match,0
Dubbel 8,No Match,0
LJB BVBA,No Match,0
Pc Concept,No Match,0
Conteyor Multibag Systems nv,No Match,0
Eureka Events SPRL,No Match,0
Gelati Van Houcke BVBA,No Match,0
Wysmans,No Match,0
Couwet L.,No Match,0
Dodemont SA,No Match,0
Moerman Marnix,No Match,0
Claude Michel Promotion SA,No Match,0
Lara Trans BVBA,No Match,0
A.M.D.I.,No Match,0
Electro Depauw bvba,No Match,0
Fievet V,No Match,0
Verjo Metal BVBA,No Match,0
Oikonde Antwerpen VZW,No Match,0
Heremans/Erwin,No Match,0
Azet,No Match,0
Dayyeh Company BVBA,No Match,0
A.F.M. New SA,No Match,0
Kumps Ets SPRL,No Match,0
Horizon l'Immobili?re [HORIZON L'IMMOBILIERE],No Match,0
E C S BVBA,No Match,0
Lingerie Fashion bvba,No Match,0
Webkrea,No Match,0
Mega Clean Housing,No Match,0
Akeru,No Match,0
Somei sa,No Match,0
Lamine/E.,No Match,0
Beeckmans Traiteur Nv,No Match,0
Sans Doute,No Match,0
Cinar/Nihat,No Match,0
Smismans/Werner,No Match,0
De Prycker/Maarten,No Match,0
UNIVERSITE CATHOLIQUE DE LOUVAIN,No Match,0
Sam Annour,No Match,0
Bexco Fibres Nv,No Match,0
Janssens F,No Match,0
Axel Troch BVBA,No Match,0
Zerun/Piotr,No Match,0
Change VR Consult,No Match,0
Aan De Watergang NV,No Match,0
Rottiers No?lla,No Match,0
Delecatessen Nathalie,No Match,0
de Groeve/Jan,No Match,0
Patricia,No Match,0
Alterimmo,No Match,0
F.R. Socks,No Match,0
Country Seasons,No Match,0
Sunbeam Belgium,No Match,0
Agence Locale Emploi,No Match,0
Van Roy/Bruno,No Match,0
Scan,No Match,0
Van Cauter J,No Match,0
Lamchassis SPRL,No Match,0
Emmaco,No Match,0
PMP AmÃ©nagement SPRL,No Match,0
Eprivate SPRL,No Match,0
Microman Roeselare,No Match,0
Pep'S Sanit,No Match,0
Outfort CVBA,No Match,0
Thales Information Systems,No Match,0
A.B.C. Kickers BVBA,No Match,0
Chi-Chi dog [CHI-CHI-DOG],No Match,0
Algemene Aannemingen Merckx,No Match,0
Elizabal/Lydie,No Match,0
Blond S.,No Match,0
Adeac SA,No Match,0
De Passage,No Match,0
Dalemans SA,No Match,0
Orient International,No Match,0
Vekemans Tim,No Match,0
Pleintje ('t),No Match,0
Behague F,No Match,0
Saba Jaouad,No Match,0
B Next Management SPRL,No Match,0
Heirman/Roger,No Match,0
Verhoeven G NV,No Match,0
Comptoir Janine,No Match,0
Burrick Pia,No Match,0
Ghesquiere F,No Match,0
D P E,No Match,0
Gommeren BVBA,No Match,0
I S T C SA,No Match,0
D-outlet BVBA,No Match,0
L.M.I.,No Match,0
Dekoninck Construct BVBA,No Match,0
Meubelen Neven NV,No Match,0
Parksken ('t),No Match,0
Denayer L,No Match,0
Glansdorff/Isabelle,No Match,0
Vanparijs Deschrijver vof,No Match,0
Confederatie Bouw West-Vlaanderen-Kantoor Kortrijk,No Match,0
Chauffage Clarembaux sa,No Match,0
Palais De Chine [LE PALAIS DE CHINE],No Match,0
North Sea Boating BVBA,No Match,0
Dog's Club,No Match,0
Bivit nv,No Match,0
Muyshondt B,No Match,0
Sanivera BVBA,No Match,0
Goovaerts W NV,No Match,0
Coin du feu (Au),No Match,0
D.C.R. Dienstencheques bvba,No Match,0
Heymans Technology SPRL,No Match,0
Dextra - Distri NV,No Match,0
Auto's Bart,No Match,0
Jaco Traiteur,No Match,0
Carpet-Stock M.D.M.,No Match,0
Geeroms Makelaarskantoor Bvba,No Match,0
Mais,No Match,0
Equiva Consulting,No Match,0
Airport 2000 SPRL,No Match,0
De Meuleneire C,No Match,0
De Schrijver,No Match,0
Night And Day,No Match,0
X-Sanatec,No Match,0
Centre Culturel d'Ans,No Match,0
Palladio,No Match,0
GTF Belgium SPRL,No Match,0
Ideal Interim Sa,No Match,0
Proot/Patrick,No Match,0
LIGUE DES FAMILLES ASBL,No Match,0
"Onze-Lieve-Vrouwinstituut, Middenschool",No Match,0
Life-Balance,No Match,0
Bij Els,No Match,0
ESL Group SA,No Match,0
De Pauw I,No Match,0
Focus Advertising NV,No Match,0
Habraken/Marc,No Match,0
Toussaint/Philippe,No Match,0
Van De Peer Ludo,No Match,0
Leenaerts//,No Match,0
VDV Parket,No Match,0
De Sleutelbos BVBA,No Match,0
Berlaar,No Match,0
Anseeuw Houthandel BVBA,No Match,0
Van De Voorde/Peter,No Match,0
Autorijschool Gino,No Match,0
Schelfaut/Johan,No Match,0
Delfi-Delerue,No Match,0
Packaging Service Center NV,No Match,0
Jewel in a Box,No Match,0
Sac ? Sac [SAC A SAC],No Match,0
Lambeir/Hilde,No Match,0
Bionerga,No Match,0
Districar SA,No Match,0
Vermeiren G,No Match,0
Medical Solutions,No Match,0
P.W.T. Bvba,No Match,0
Overlegplatform GGZ,No Match,0
Marc (Kapsalon),No Match,0
Transport Donatien Kapeta BVBA,No Match,0
Pecheny Pneus,No Match,0
P.R.B.M.-Consulting BVBA,No Match,0
Pauwelyn Koen,No Match,0
Van Overberghe/Guy,No Match,0
Notenbaert Willy en zoon nv,No Match,0
Body X - Trem,No Match,0
Luxor,No Match,0
Pure Nature,No Match,0
Easy Living SA,No Match,0
Malengier BVBA,No Match,0
Sluys International NV,No Match,0
Manu Koel- en Elektrotechniek,No Match,0
Govaers,No Match,0
Fantasia,No Match,0
Stassen Hoveniersbedrijf,No Match,0
Buracom BVBA,No Match,0
Twice as Nice,No Match,0
P&O Ferries,No Match,0
Huppertz SA,No Match,0
Deroteleur H,No Match,0
SPORT 2000,No Match,0
Coppens T,No Match,0
Schroven/Ivo,No Match,0
Ets Bullman SA,No Match,0
Nys Laswerken BVBA,No Match,0
Dejitronic,No Match,0
Vanderheyden/Erik,No Match,0
Van den Bogaert Raf,No Match,0
G.M.T. Belgium SA,No Match,0
MDCM [MDCM  SPRL],No Match,0
"International Shoe Agencies Jimmy Baert nv, Baert nv",No Match,0
Brasseur Henry SA,No Match,0
K.V.S. Lighting,No Match,0
Demuynck K,No Match,0
Detaille/Jo?lle,No Match,0
Haesaerts Frank,No Match,0
De Vierkante Meter,No Match,0
Van Casteren C,No Match,0
J&W Partners,No Match,0
Cye Consult,No Match,0
Jeugddienst,No Match,0
Herckenrode,No Match,0
HÃ¤stens Megastore Antwerpen,No Match,0
Bouwonderneming Sterckx BVBA,No Match,0
Lieve(Coiffure),No Match,0
B.S.N. BVBA,No Match,0
Crazy Cow BVBA,No Match,0
Browaeys/Peter,No Match,0
Celtic Ireland BVBA,No Match,0
Van Den Bergh/Walter,No Match,0
Dockx Car & Truck Rental nv,No Match,0
Boes/G.,No Match,0
Aquapunt d'Autreppe SPRL,No Match,0
Hydro-Tools sa,No Match,0
Economic [ECONOMIC BVBA],No Match,0
Speelberg (De),No Match,0
Het Podium,No Match,0
Entraide Culture ASBL,No Match,0
Prima Lettering Nv,No Match,0
Maes Adiel nv,No Match,0
KoopjesGigant,No Match,0
ETS DEVERGNIES SPRL,No Match,0
Natalima Electro-Technique,No Match,0
J.L. Style SPRL,No Match,0
Will-Pharma,No Match,0
Bloemania,No Match,0
Imago-Textiel BVBA,No Match,0
IT Factory BVBA,No Match,0
Vermeulen/Christ,No Match,0
Igilo SA,No Match,0
Aventure Parc,No Match,0
Hilde Theunis BVBA,No Match,0
Christiaens/Pol,No Match,0
Van Hauwaert/Wilfried,No Match,0
Luyckx Wim,No Match,0
Torfs/Wim,No Match,0
Agora Deinze,No Match,0
A.D. Froidmont,No Match,0
AVVA Systems BVBA,No Match,0
Van Braband B,No Match,0
Andries/Frieda,No Match,0
PC-Matic BVBA,No Match,0
Ools/Willy,No Match,0
Star Entertainment BVBA,No Match,0
Carlier/Xavier,No Match,0
KetelsSoftwareEngineering,No Match,0
Now Screen Printing SA,No Match,0
Optiwatch BVBA,No Match,0
Happy Life Consulting SPRL,No Match,0
